timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1607675637078,409,Launch-Get home,200,OK,DemoBlaze 1-1,text,true,,4920,338,1,1,https://demoblaze.com/,409,0,1
1607675637488,417,Login-Options login,200,OK,DemoBlaze 1-1,text,true,,513,397,1,1,https://api.demoblaze.com/login,417,0,1
1607675637906,332,Login-Post user credential,200,OK,DemoBlaze 1-1,text,true,,513,408,1,1,https://api.demoblaze.com/login,332,0,0
1607675638238,297,Login-Post check,200,OK,DemoBlaze 1-1,text,true,,560,395,1,1,https://api.demoblaze.com/check,297,0,0
1607675638535,267,Browse laptops-Options bycat,200,OK,DemoBlaze 1-1,text,true,,509,397,1,1,https://api.demoblaze.com/bycat,267,0,0
1607675638802,314,Browse laptops-Post bycat,200,OK,DemoBlaze 1-1,text,true,,1445,381,1,1,https://api.demoblaze.com/bycat,314,0,0
1607675639116,267,Select MacBook Pro-Get prod,200,OK,DemoBlaze 1-1,text,true,,5369,388,1,1,https://demoblaze.com/prod.html?idp_=15,266,0,0
1607675639382,290,Select MacBook Pro-Post check,200,OK,DemoBlaze 1-1,text,true,,560,412,1,1,https://api.demoblaze.com/check,289,0,0
1607675639672,289,Select MacBook Pro-Post view,200,OK,DemoBlaze 1-1,text,true,,697,390,1,1,https://api.demoblaze.com/view,289,0,0
1607675639962,264,Add to cart-Options add to cart,200,OK,DemoBlaze 1-1,text,true,,509,418,1,1,https://api.demoblaze.com/addtocart,264,0,0
1607675640226,363,Add to cart-Post add to cart,200,OK,DemoBlaze 1-1,text,true,,367,487,1,1,https://api.demoblaze.com/addtocart,363,0,0
1607675640589,287,Cart-Get cart,200,OK,DemoBlaze 1-1,text,true,,5691,397,1,1,https://demoblaze.com/cart.html,287,0,0
1607675640876,314,Cart-Post check,200,OK,DemoBlaze 1-1,text,true,,560,404,1,1,https://api.demoblaze.com/check,313,0,0
1607675641190,365,Cart-Post view cart,200,OK,DemoBlaze 1-1,text,true,,564,420,1,1,https://api.demoblaze.com/viewcart,365,0,0
1607675641555,308,Cart-Post view,200,OK,DemoBlaze 1-1,text,true,,697,379,1,1,https://api.demoblaze.com/view,308,0,0
1607675641863,264,Place order-Options delete cart,200,OK,DemoBlaze 1-1,text,true,,509,411,1,1,https://api.demoblaze.com/deletecart,264,0,0
1607675642127,373,Place order-Post delete cart,200,OK,DemoBlaze 1-1,text,true,,397,396,1,1,https://api.demoblaze.com/deletecart,373,0,0
1607675642500,284,Place order-Get index,200,OK,DemoBlaze 1-1,text,true,,4920,390,1,1,https://demoblaze.com/index.html,283,0,0
1607675642784,311,Place order-Post check,200,OK,DemoBlaze 1-1,text,true,,560,405,1,1,https://api.demoblaze.com/check,311,0,0
1607675643096,62,Logout,200,OK,DemoBlaze 1-1,text,true,,4920,391,1,1,https://demoblaze.com/index.html,61,0,0
1607675643161,407,Launch-Get home,200,OK,DemoBlaze 1-1,text,true,,4920,338,1,1,https://demoblaze.com/,406,0,1
1607675643568,413,Login-Options login,200,OK,DemoBlaze 1-1,text,true,,509,397,1,1,https://api.demoblaze.com/login,413,0,1
1607675643982,366,Login-Post user credential,200,OK,DemoBlaze 1-1,text,true,,513,408,1,1,https://api.demoblaze.com/login,366,0,0
1607675644348,300,Login-Post check,200,OK,DemoBlaze 1-1,text,true,,560,395,1,1,https://api.demoblaze.com/check,300,0,0
1607675644648,262,Browse laptops-Options bycat,200,OK,DemoBlaze 1-1,text,true,,509,397,1,1,https://api.demoblaze.com/bycat,262,0,0
1607675644910,329,Browse laptops-Post bycat,200,OK,DemoBlaze 1-1,text,true,,1445,381,1,1,https://api.demoblaze.com/bycat,329,0,0
1607675645239,268,Select MacBook Pro-Get prod,200,OK,DemoBlaze 1-1,text,true,,5369,388,1,1,https://demoblaze.com/prod.html?idp_=15,267,0,0
1607675645507,323,Select MacBook Pro-Post check,200,OK,DemoBlaze 1-1,text,true,,560,412,1,1,https://api.demoblaze.com/check,323,0,0
1607675645831,306,Select MacBook Pro-Post view,200,OK,DemoBlaze 1-1,text,true,,697,390,1,1,https://api.demoblaze.com/view,305,0,0
1607675646137,262,Add to cart-Options add to cart,200,OK,DemoBlaze 1-1,text,true,,509,418,1,1,https://api.demoblaze.com/addtocart,262,0,0
1607675646400,356,Add to cart-Post add to cart,200,OK,DemoBlaze 1-1,text,true,,367,487,1,1,https://api.demoblaze.com/addtocart,356,0,0
1607675646756,268,Cart-Get cart,200,OK,DemoBlaze 1-1,text,true,,5691,397,1,1,https://demoblaze.com/cart.html,267,0,0
1607675647024,318,Cart-Post check,200,OK,DemoBlaze 1-1,text,true,,560,404,1,1,https://api.demoblaze.com/check,318,0,0
1607675647342,334,Cart-Post view cart,200,OK,DemoBlaze 1-1,text,true,,564,420,1,1,https://api.demoblaze.com/viewcart,333,0,0
1607675647676,319,Cart-Post view,200,OK,DemoBlaze 1-1,text,true,,701,379,1,1,https://api.demoblaze.com/view,319,0,0
1607675647996,260,Place order-Options delete cart,200,OK,DemoBlaze 1-1,text,true,,509,411,1,1,https://api.demoblaze.com/deletecart,260,0,0
1607675648257,399,Place order-Post delete cart,200,OK,DemoBlaze 1-1,text,true,,397,396,1,1,https://api.demoblaze.com/deletecart,399,0,0
1607675648656,267,Place order-Get index,200,OK,DemoBlaze 1-1,text,true,,4920,390,1,1,https://demoblaze.com/index.html,267,0,0
1607675648923,320,Place order-Post check,200,OK,DemoBlaze 1-1,text,true,,560,405,1,1,https://api.demoblaze.com/check,320,0,0
1607675649243,59,Logout,200,OK,DemoBlaze 1-1,text,true,,4920,391,1,1,https://demoblaze.com/index.html,58,0,0
1607675649306,411,Launch-Get home,200,OK,DemoBlaze 1-1,text,true,,4920,338,1,1,https://demoblaze.com/,410,0,1
1607675649717,667,Login-Options login,200,OK,DemoBlaze 1-1,text,true,,509,397,1,1,https://api.demoblaze.com/login,667,0,2
1607675650384,352,Login-Post user credential,200,OK,DemoBlaze 1-1,text,true,,513,408,1,1,https://api.demoblaze.com/login,352,0,0
1607675650736,311,Login-Post check,200,OK,DemoBlaze 1-1,text,true,,560,395,1,1,https://api.demoblaze.com/check,311,0,0
1607675651048,269,Browse laptops-Options bycat,200,OK,DemoBlaze 1-1,text,true,,509,397,1,1,https://api.demoblaze.com/bycat,269,0,0
1607675651318,333,Browse laptops-Post bycat,200,OK,DemoBlaze 1-1,text,true,,1445,381,1,1,https://api.demoblaze.com/bycat,333,0,0
1607675651651,270,Select MacBook Pro-Get prod,200,OK,DemoBlaze 1-1,text,true,,5369,388,1,1,https://demoblaze.com/prod.html?idp_=15,270,0,0
1607675651922,314,Select MacBook Pro-Post check,200,OK,DemoBlaze 1-1,text,true,,560,412,1,1,https://api.demoblaze.com/check,314,0,0
1607675652236,446,Select MacBook Pro-Post view,200,OK,DemoBlaze 1-1,text,true,,697,390,1,1,https://api.demoblaze.com/view,446,0,0
1607675652683,261,Add to cart-Options add to cart,200,OK,DemoBlaze 1-1,text,true,,509,418,1,1,https://api.demoblaze.com/addtocart,261,0,0
1607675652944,435,Add to cart-Post add to cart,200,OK,DemoBlaze 1-1,text,true,,367,487,1,1,https://api.demoblaze.com/addtocart,435,0,0
1607675653379,292,Cart-Get cart,200,OK,DemoBlaze 1-1,text,true,,5691,397,1,1,https://demoblaze.com/cart.html,291,0,0
1607675653671,320,Cart-Post check,200,OK,DemoBlaze 1-1,text,true,,565,404,1,1,https://api.demoblaze.com/check,320,0,0
1607675653991,357,Cart-Post view cart,200,OK,DemoBlaze 1-1,text,true,,564,420,1,1,https://api.demoblaze.com/viewcart,357,0,0
1607675654348,322,Cart-Post view,200,OK,DemoBlaze 1-1,text,true,,697,379,1,1,https://api.demoblaze.com/view,322,0,0
1607675654670,252,Place order-Options delete cart,200,OK,DemoBlaze 1-1,text,true,,509,411,1,1,https://api.demoblaze.com/deletecart,252,0,0
1607675654922,429,Place order-Post delete cart,200,OK,DemoBlaze 1-1,text,true,,397,396,1,1,https://api.demoblaze.com/deletecart,429,0,0
1607675655351,281,Place order-Get index,200,OK,DemoBlaze 1-1,text,true,,4920,390,1,1,https://demoblaze.com/index.html,280,0,0
1607675655632,313,Place order-Post check,200,OK,DemoBlaze 1-1,text,true,,560,405,1,1,https://api.demoblaze.com/check,312,0,0
1607675655945,73,Logout,200,OK,DemoBlaze 1-1,text,true,,4920,391,1,1,https://demoblaze.com/index.html,73,0,0
1607675656023,423,Launch-Get home,200,OK,DemoBlaze 1-1,text,true,,4920,338,1,1,https://demoblaze.com/,423,0,1
1607675656447,402,Login-Options login,200,OK,DemoBlaze 1-1,text,true,,509,397,1,1,https://api.demoblaze.com/login,402,0,1
1607675656849,392,Login-Post user credential,200,OK,DemoBlaze 1-1,text,true,,513,408,2,2,https://api.demoblaze.com/login,392,0,0
1607675657076,410,Launch-Get home,200,OK,DemoBlaze 1-2,text,true,,4924,338,2,2,https://demoblaze.com/,410,0,1
1607675657242,316,Login-Post check,200,OK,DemoBlaze 1-1,text,true,,565,395,2,2,https://api.demoblaze.com/check,316,0,0
1607675657558,264,Browse laptops-Options bycat,200,OK,DemoBlaze 1-1,text,true,,509,397,2,2,https://api.demoblaze.com/bycat,264,0,0
1607675657487,372,Login-Options login,200,OK,DemoBlaze 1-2,text,true,,509,397,2,2,https://api.demoblaze.com/login,372,0,1
1607675657822,341,Browse laptops-Post bycat,200,OK,DemoBlaze 1-1,text,true,,1449,381,2,2,https://api.demoblaze.com/bycat,341,0,0
1607675657860,368,Login-Post user credential,200,OK,DemoBlaze 1-2,text,true,,518,408,2,2,https://api.demoblaze.com/login,368,0,0
1607675658163,268,Select MacBook Pro-Get prod,200,OK,DemoBlaze 1-1,text,true,,5373,388,2,2,https://demoblaze.com/prod.html?idp_=15,268,0,0
1607675658228,318,Login-Post check,200,OK,DemoBlaze 1-2,text,true,,560,395,2,2,https://api.demoblaze.com/check,318,0,0
1607675658432,349,Select MacBook Pro-Post check,200,OK,DemoBlaze 1-1,text,true,,560,412,2,2,https://api.demoblaze.com/check,349,0,0
1607675658546,255,Browse laptops-Options bycat,200,OK,DemoBlaze 1-2,text,true,,509,397,2,2,https://api.demoblaze.com/bycat,255,0,0
1607675658781,330,Select MacBook Pro-Post view,200,OK,DemoBlaze 1-1,text,true,,697,390,2,2,https://api.demoblaze.com/view,330,0,0
1607675658802,318,Browse laptops-Post bycat,200,OK,DemoBlaze 1-2,text,true,,1450,381,2,2,https://api.demoblaze.com/bycat,318,0,0
1607675659113,259,Add to cart-Options add to cart,200,OK,DemoBlaze 1-1,text,true,,509,418,2,2,https://api.demoblaze.com/addtocart,259,0,0
1607675659121,264,Select MacBook Pro-Get prod,200,OK,DemoBlaze 1-2,text,true,,5369,388,2,2,https://demoblaze.com/prod.html?idp_=15,263,0,0
1607675659385,320,Select MacBook Pro-Post check,200,OK,DemoBlaze 1-2,text,true,,560,412,2,2,https://api.demoblaze.com/check,320,0,0
1607675659372,376,Add to cart-Post add to cart,200,OK,DemoBlaze 1-1,text,true,,367,487,2,2,https://api.demoblaze.com/addtocart,376,0,0
1607675659706,314,Select MacBook Pro-Post view,200,OK,DemoBlaze 1-2,text,true,,697,390,2,2,https://api.demoblaze.com/view,314,0,0
1607675659748,283,Cart-Get cart,200,OK,DemoBlaze 1-1,text,true,,5691,397,2,2,https://demoblaze.com/cart.html,282,0,0
1607675660021,267,Add to cart-Options add to cart,200,OK,DemoBlaze 1-2,text,true,,509,418,2,2,https://api.demoblaze.com/addtocart,267,0,0
1607675660031,309,Cart-Post check,200,OK,DemoBlaze 1-1,text,true,,560,404,2,2,https://api.demoblaze.com/check,309,0,0
1607675660288,348,Add to cart-Post add to cart,200,OK,DemoBlaze 1-2,text,true,,367,487,2,2,https://api.demoblaze.com/addtocart,348,0,0
1607675660340,348,Cart-Post view cart,200,OK,DemoBlaze 1-1,text,true,,564,420,2,2,https://api.demoblaze.com/viewcart,348,0,0
1607675660637,271,Cart-Get cart,200,OK,DemoBlaze 1-2,text,true,,5691,397,2,2,https://demoblaze.com/cart.html,271,0,0
