Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Signup-560,355,219,182,789,47.79,0.000%,.61662,0.49,0.16,822.0
Signup-561,355,92,74,316,15.78,0.000%,.61691,0.48,0.17,803.7
Signup-562,355,95,73,1049,51.73,0.000%,.61694,0.48,0.17,802.0
Signup-563,355,698,503,2848,172.07,0.000%,.61619,3.13,0.43,5207.1
Signup-564,354,86,64,362,51.82,0.000%,.61576,2.96,0.20,4919.9
Signup-581,354,151,56,999,119.36,0.000%,.61560,0.29,0.22,481.2
Signup-590,354,428,360,1276,77.31,0.000%,.61578,0.31,0.24,509.0
Signup-591,354,336,263,817,75.50,0.000%,.61681,0.31,0.25,522.3
Login-592,354,300,245,1203,87.21,0.000%,.61707,0.31,0.24,509.0
Login-593,354,372,281,1215,87.44,0.000%,.61699,0.31,0.25,513.2
Login-594,354,90,63,326,55.01,0.000%,.61744,2.97,0.22,4920.0
Login-610,354,393,157,1630,282.67,0.000%,.61715,110.35,0.24,183093.1
Login-611,353,86,55,313,64.24,0.000%,.61651,0.29,0.23,481.9
Login-612,353,297,241,789,70.41,0.000%,.61635,0.31,0.24,509.0
Login-613,353,348,270,1313,98.80,0.000%,.61637,0.91,0.19,1509.3
Login-614,353,331,269,1204,77.33,0.000%,.61642,0.35,0.25,582.4
Phone-622,351,299,245,665,72.02,0.000%,.61307,0.30,0.24,509.0
Phone-623,351,335,273,825,66.85,0.000%,.61310,0.74,0.23,1234.3
Buy phone-624,351,194,63,470,111.32,0.000%,.61320,3.21,0.23,5368.0
Buy phone-637,351,80,55,290,54.42,0.000%,.61357,0.29,0.22,482.0
Buy phone-638,351,297,245,820,73.25,0.000%,.61342,0.30,0.25,509.0
Buy phone-639,350,294,243,745,66.83,0.000%,.61195,0.30,0.25,509.0
Buy phone-641,350,337,266,1388,92.01,0.000%,.61199,0.41,0.23,689.3
Buy phone-640,350,350,267,4089,215.44,0.000%,.61207,0.35,0.25,582.3
Buy phone-643,350,297,244,1064,74.36,0.000%,.61219,0.30,0.25,509.0
Buy phone-644,350,371,283,1116,91.55,0.000%,.61227,0.22,0.30,367.0
Buy phone-645,350,171,62,450,108.75,0.000%,.61239,2.94,0.24,4919.4
Buy phone-660,350,83,56,289,59.07,0.000%,.61274,0.29,0.22,482.0
Buy phone-661,350,297,245,633,71.18,0.000%,.61252,0.30,0.24,509.0
Buy phone-662,350,340,276,844,73.18,0.000%,.61263,0.90,0.19,1509.3
Buy phone-663,350,331,270,1001,73.96,0.000%,.61272,0.35,0.25,582.3
Laptop-671,349,296,241,688,65.70,0.000%,.61120,0.30,0.24,509.0
Laptop-672,349,345,275,1694,110.64,0.000%,.61124,0.86,0.23,1445.2
Buy laptop-675,349,196,62,805,113.92,0.000%,.61134,3.20,0.24,5368.0
Buy laptop-687,349,83,56,331,60.08,0.000%,.61162,0.29,0.22,482.0
Buy laptop-689,349,299,244,728,76.76,0.000%,.61167,0.30,0.25,509.0
Buy laptop-688,349,290,243,632,54.24,0.000%,.61171,0.30,0.25,509.0
Buy laptop-690,349,341,265,1282,91.53,0.000%,.61173,0.43,0.23,714.3
Buy laptop-691,348,337,261,1497,100.09,0.000%,.61007,0.35,0.25,582.3
Buy laptop-693,346,288,245,649,56.75,0.000%,.60664,0.30,0.25,509.0
Buy laptop-694,345,370,283,918,83.36,0.000%,.60485,0.22,0.29,367.0
Buy laptop-695,345,111,62,464,83.52,0.000%,.60527,2.91,0.23,4919.8
Buy laptop-710,345,117,55,975,100.25,0.000%,.60511,0.28,0.22,482.0
